Shipment_ID,Region,Transport_Mode,Product_Category,Shipment_Volume_Units,Delivery_Time_Days,Transportation_Cost,SLA_Days,On_Time
1,South,Road,Apparel,66,6.3,684.87,6,False
2,Central,Road,Pharma,111,17.6,789.4,6,False
3,West,Sea,Pharma,19,13.1,57.26,15,True
4,East,Road,Groceries,87,5.4,632.49,6,True
5,North,Road,Furniture,55,8.6,453.13,6,False
6,North,Rail,Pharma,180,5.3,962.14,8,True
7,North,Road,Furniture,88,5.8,741.31,6,True
8,West,Rail,Electronics,115,4.4,482.69,8,True
9,East,Road,Furniture,100,5.4,456.15,6,True
10,West,Road,Apparel,184,4.0,1309.84,6,True
11,North,Road,Apparel,187,3.9,1461.37,6,True
12,Central,Road,Pharma,146,4.1,1068.98,6,True
13,West,Sea,Furniture,129,12.4,420.63,15,True
14,North,Road,Pharma,34,2.9,293.8,6,True
15,North,Air,Groceries,94,1.2,2847.39,3,True
16,North,Road,Apparel,205,4.4,1622.6,6,True
17,South,Road,Pharma,121,4.2,1124.13,6,True
18,East,Sea,Groceries,88,12.4,210.67,15,True
19,South,Road,Pharma,79,3.1,610.2,6,True
20,South,Rail,Furniture,79,6.8,438.8,8,True
21,East,Sea,Furniture,114,12.2,338.33,15,True
22,North,Air,Furniture,73,0.5,2208.18,3,True
23,South,Sea,Furniture,196,11.4,655.08,15,True
24,South,Road,Electronics,30,2.9,332.1,6,True
25,South,Road,Groceries,164,2.9,1391.26,6,True
26,West,Road,Groceries,228,3.4,1917.29,6,True
27,North,Rail,Furniture,52,6.7,255.88,8,True
28,East,Sea,Electronics,154,11.2,404.09,15,True
29,East,Road,Furniture,135,4.3,1215.26,6,True
30,North,Rail,Electronics,63,6.1,329.45,8,True
31,East,Road,Furniture,49,3.1,269.71,6,True
32,North,Air,Apparel,141,1.1,6066.41,3,True
33,North,Road,Apparel,282,5.0,2349.0,6,True
34,Central,Sea,Pharma,211,12.2,478.02,15,True
35,Central,Air,Furniture,155,2.2,5218.49,3,True
36,West,Road,Groceries,140,5.5,1038.64,6,True
37,South,Road,Pharma,121,4.5,1399.69,6,True
38,North,Road,Apparel,102,8.7,827.42,6,False
39,East,Road,Furniture,145,4.3,1201.47,6,True
40,South,Road,Pharma,63,3.3,846.29,6,True
41,North,Sea,Furniture,175,14.2,539.18,15,True
42,South,Air,Apparel,107,2.0,4244.2,3,True
43,North,Air,Pharma,108,0.8,3174.99,3,True
44,Central,Road,Apparel,253,4.7,1589.92,6,True
45,North,Sea,Electronics,46,12.1,116.55,15,True
46,East,Rail,Apparel,158,3.9,691.06,8,True
47,South,Road,Furniture,235,5.0,3100.75,6,True
48,East,Rail,Groceries,147,5.5,673.37,8,True
49,East,Air,Apparel,123,3.2,3552.71,3,False
50,North,Road,Groceries,105,3.9,813.58,6,True
51,Central,Road,Electronics,175,5.7,1050.81,6,True
52,West,Road,Pharma,24,4.5,233.3,6,True
53,Central,Road,Pharma,144,15.4,909.13,6,False
54,Central,Sea,Groceries,90,11.4,268.13,15,True
